# CMS
  159.89.121.7         | [CMS] - xmlrpc.php
  192.9.247.99         | [CMS] - xmlrpc.php
  206.189.91.241       | [CMS] - xmlrpc.php

# Wordpress
  18.197.32.195        | [Wordpress] - wp-admin/install.php
  34.16.129.66         | [Wordpress] - wp-includes/js/jquery/jquery.js
  34.27.95.226         | [Wordpress] - wp-includes/js/jquery/jquery.js
  34.45.185.22         | [Wordpress] - wp-includes and others
  34.53.61.62          | [Wordpress] - wp-includes/wlwmanifest.xml
  34.63.140.89         | [Wordpress] - wp-includes/wlwmanifest.xml
  34.76.103.239        | [Wordpress] - wp-includes and others
  34.90.201.254        | [Wordpress] - wp-includes/wlwmanifest.xml
  35.196.99.111        | [Wordpress] - wp-includes/wlwmanifest.xml
  35.247.4.240         | [Wordpress] - wp-includes/wlwmanifest.xml
  103.198.133.169      | [Wordpress] - wp-login.php
  107.170.66.27        | [Wordpress] - wp-login.php
  113.161.176.37       | [Wordpress] - wp-includes/wlwmanifest.xml
  129.146.7.215        | [Wordpress] - wp-includes/ID3/license.txt
  152.42.163.177       | [Wordpress] - wp-includes and others
  152.42.242.156       | [Wordpress] - wp-includes/wlwmanifest.xml
  159.65.5.61          | [Wordpress] - wp-includes/wlwmanifest.xml 
  159.203.10.97        | [Wordpress] - wp-includes
  202.182.121.32       | [Wordpress] - wp-login.php
  207.148.90.194       | [Wordpress] - wp-login.php
  213.35.99.97         | [Wordpress] - wp-includes/ID3/license.txt
  217.142.187.61       | [Wordpress] - wp-includes/ID3/license.txt
  2a06:98c0:3600::103  | [Wordpress] - wp-admin/setup-config.php

# GitHub
  34.56.59.179         | [Github] - .git/config
  34.230.49.79         | [Github] - .git/config
  178.128.159.151      | [Github] - .git/config
  185.177.72.210       | [Github] - .git/HEAD
  196.251.114.9        | [Github] - .git/config
  
# PHP

  185.177.72.7         | [PHP] - phpinfo.php

# Automatically added by server

2a06:98c0:3600::103 | [Wordpress] - wp-admin/setup-config.php
